OBJECTID,municipality,scenario,period,cdd,csdi,cwd,fd,prcptot,r10mm,r20mm,r95p,r95ptot,r99p,r99ptot,rx1day,rx5day,sdii,tn10p,tn90p,tnlt2,tnn,tnx,tx10p,tx90p,txd_tnd,txge30,txgt50p,txn,txx,wsdi
87.0,Steve Tshwete,ssp126,far-term_2081-2100,4.71447,-1.1128409,0.10499302,-2.642613636363636,4.636312,0.14210421888053482,0.18538116123642454,6.7528,0.8014188,5.680232,0.7788389,1.2728977,2.2932765,0.08787987044411756,-2.2458086,18.38624,-8.202613636363635,0.60677576,0.42701817,-1.9787177,16.243813,2.6246493,29.403597,14.154606,1.0306188,1.6230749,25.230368
87.0,Steve Tshwete,ssp126,mid-term_2041-2060,4.657804,-0.74992436,0.1287427,-2.7355303030303033,7.7175393,-0.10747911445280185,0.1762144945697579,8.439309,0.98748237,7.434274,1.0189719,2.0743797,2.392849,0.05671491039534793,-1.976485,17.242483,-8.02344696969697,0.60240096,0.25475407,-1.8343383,14.629536,2.1567323,25.739845,13.012479,0.8827057,1.4430002,20.69835
87.0,Steve Tshwete,ssp126,near-term_2021-2040,3.8923862,0.15632553,-0.046257496,-1.8434469696969693,9.981923,0.004187552213865686,0.12996449456975764,7.340132,0.9025388,4.885179,0.6869857,0.89859676,3.0890553,0.04819388908331564,-0.46746778,12.623809,-5.535946969696968,0.11721321,-0.035216648,-0.2939838,11.109449,1.4254825,17.838598,9.252339,0.5228775,0.9553604,14.698789
87.0,Steve Tshwete,ssp245,far-term_2081-2100,7.6576056,-2.960606,0.5669174,-4.355681818181818,12.001851,0.304385964912278,0.44214703425229746,15.376209,1.8338507,10.092375,1.322142,2.4077327,3.6370633,0.12705042534311284,-6.072604,36.70979,-14.687121212121212,2.3035553,2.285135,-5.5143576,28.75392,7.7988043,60.614372,25.21425,2.1931913,3.052948,55.750275
87.0,Steve Tshwete,ssp245,mid-term_2041-2060,2.8992703,-2.0094697,0.14429887,-3.3587121212121205,6.9083557,0.5702589807852938,0.32548036758563065,12.671364,1.6264768,8.371516,1.1779884,1.8679152,4.6581063,0.14954198481446568,-3.593503,22.968227,-11.093181818181817,1.3393128,1.4014698,-3.0055363,18.75439,3.6092703,35.919655,16.712633,1.288289,1.8510641,30.104282
87.0,Steve Tshwete,ssp245,near-term_2021-2040,5.119883,-0.36802235,0.20790942,-2.223265550239234,3.990804,0.19793755221386533,0.15538116123642434,8.880745,1.2164394,5.8812437,0.8443698,1.814393,1.7868932,0.11716160098252952,-0.5909664,12.924867,-6.412978468899522,0.74382865,0.76061535,-0.24939759,11.250601,1.5162058,18.403507,9.2108755,0.54613715,0.9771576,15.32924
87.0,Steve Tshwete,ssp370,far-term_2081-2100,15.64706,-3.4239058,0.51462,-5.082659932659932,3.2559407,0.5671261487050933,0.6331662489557225,22.68577,3.0656898,16.224735,2.291389,3.217468,6.3395233,0.33261729906050075,-8.369747,59.011642,-18.08867845117845,3.6468709,3.1523285,-7.117182,40.689354,15.669373,94.038605,32.172985,3.136026,4.5022826,98.32035
87.0,Steve Tshwete,ssp370,mid-term_2041-2060,8.986965,-2.6664984,0.021199226,-4.265993265993266,-3.8030396,-0.09471595655806257,0.3450083542188804,13.530017,2.0158877,7.591624,1.1350197,2.014486,3.5923398,0.1358967375532029,-4.82649,28.582537,-13.90210437710438,1.6401268,1.0982136,-3.369818,20.159588,4.6420565,38.013138,17.989101,1.294427,1.9800797,32.32683
87.0,Steve Tshwete,ssp370,near-term_2021-2040,4.76548,-1.0859427,0.1185681,-3.1044191919191917,1.5026245,0.08072263993316575,0.16167502088554708,6.7476783,0.9153492,4.56842,0.6432746,0.8668232,1.9368362,0.06478404721577435,-1.613619,15.249696,-8.847011784511784,0.7419411,0.11449019,-0.2735106,11.198998,1.623538,17.3636,9.033714,0.66493875,0.86351013,13.890261
87.0,Steve Tshwete,ssp585,far-term_2081-2100,14.249267,-3.4776516,0.5823938,-5.131818181818182,16.064138,0.6055764411027565,0.9238930659983294,34.826145,4.489265,25.692678,3.5324473,4.5619636,9.6961355,0.4322926022078373,-8.912847,65.14156,-18.575757575757574,4.5705557,4.719241,-8.091138,51.153473,19.755861,127.55072,37.767,4.025143,5.9656634,142.63007
